,City Name,Max Temperature (F),Wind speed (mph),Humidity (%),Cloudiness,Latitude
111,Iquitos,77,4.7,88,75,-3.75
112,Hella,71.59,2.37,97,100,10.47
113,Kruisfontein,58.29,16.28,74,100,-34
114,Arraial do Cabo,69.41,26.8,84,0,-22.97
115,Komsomolskiy,38.61,15.64,87,100,67.55
116,Saint-Georges,39,1.68,100,41,46.12
117,Heinola,37.4,6.93,93,75,61.2
118,Saint Anthony,39.2,4.7,60,1,43.97
119,Westport,70,6.93,82,90,41.14
120,Sur,83.56,11.12,63,0,22.57
121,Mantua,60.8,6.93,87,42,45.16
122,Gorontalo,86.44,8.43,60,26,0.54
123,Kiama,87.8,8.05,15,0,-34.67
124,Mount Gambier,60.8,14.99,72,75,-37.83
125,Puerto Ayora,66.99,11.61,93,47,-0.74
126,Port Alfred,63,11.01,87,32,-33.59
127,Kyshtovka,41.73,12.93,66,59,56.56
128,Nantucket,57.99,16.11,87,90,41.28
129,Cam Ranh,89.6,3.36,66,0,11.92
130,Turochak,41.55,2.37,50,0,52.26
131,Storsteinnes,35.6,3.36,86,75,69.24
132,Leeton,93.2,16.11,16,0,-34.55
133,Krasnovishersk,43.71,11.7,94,100,60.4
134,San Patricio,67.31,6.38,94,100,-26.98
135,Esperance,68,12.75,64,67,-33.86
136,Martapura,77,5.82,94,0,-3.41
137,Saint George,60.8,2.24,77,20,39.45
138,Laguna,78.8,1.5,94,75,16.17
139,Vagur,47.11,13.96,73,1,61.47
140,Vysokogornyy,34.02,3.69,97,100,50.1
141,Bilma,83.58,8.19,12,0,18.69
142,Wagar,80.01,2.17,79,0,31.44
143,Nouadhibou,80.6,13.87,51,36,20.93
144,Okhotsk,36.54,19.53,38,0,59.36
145,Dikson,26.52,24.36,70,100,73.51
146,Leshukonskoye,30.55,7.29,89,46,64.9
147,Upernavik,37.19,10.69,68,100,72.79
148,Agogo,70.65,4.61,98,100,6.8
149,Taseyevo,40.7,8.43,71,100,57.22
150,Vanimo,83.25,5.66,70,17,-2.67
151,Jeremie,80.23,2.68,77,100,18.65
152,Tucuman,49.9,1.81,69,0,-17.17
153,Karratha,98.91,4.16,14,0,-20.74
154,Egvekinot,29.42,2.48,93,100,66.32
155,Hami,59.94,7.02,21,0,42.84
156,Blytheville,78.8,4.7,78,0,35.93
157,Naryan-Mar,35.36,13.96,96,100,67.67
158,Macheng,86.71,1.54,41,31,31.18
159,Weligama,81.13,12.01,79,1,5.97
160,Noshiro,71.6,1.12,78,0,40.21
161,Ferkessedougou,70.98,4.99,97,98,9.6
162,Lompoc,63,3.36,71,1,34.64
163,Kodinsk,39.06,9.44,94,100,58.6
164,Kenai,50,2.15,61,20,60.55
165,Pimentel,73.37,2.86,88,0,-3.7
166,Talnakh,35.6,13.42,93,75,69.49
167,Butembo,59.6,3.11,95,86,0.12
168,Verkhnyaya Inta,41.57,12.93,90,100,65.99
169,Kuusamo,24.8,4.7,100,20,65.96
170,Poim,47.74,8.08,85,52,53.03
171,San Policarpo,84.78,6.11,66,99,12.18
172,Nome,82.99,3.47,88,1,30.04
173,San Cristobal,66.62,3.65,95,100,14.68
174,Qaqortoq,51.8,32.21,32,100,60.72
175,Constantine,57.2,5.82,93,75,36.36
176,Didsbury,37,3.36,74,5,51.66
177,Margate,82,10.29,31,0,-43.03
178,Fort Myers Beach,80.6,10.29,74,1,26.45
179,Hasaki,82.99,10.29,69,75,35.73
180,Coquimbo,51.8,9.17,76,0,-29.95
181,Lethem,81.44,7.72,65,53,3.38
182,San Andres,88.33,2.17,60,100,13.32
183,Richards Bay,66.17,26.42,73,0,-28.77
184,Balkhash,42.8,20.13,30,0,46.84
185,Flin Flon,34.33,4.72,84,40,54.77
186,Charters Towers,81.36,15.32,34,100,-20.07
187,Kaitangata,51.01,10,63,78,-46.28
188,Moncao,63,3.36,100,0,42.08
189,The Pas,35.6,3.36,74,1,53.82
190,Narsaq,51.8,32.21,32,100,60.91
191,Qiryat Shemona,75.2,4.7,77,20,33.21
192,Agadez,84.2,7.16,21,1,16.97
193,Buchanan,75.2,11.9,94,75,5.88
194,Khandyga,27.6,2.24,57,91,62.65
195,Purpe,46,15.14,95,100,64.48
196,Pringsewu,83.15,4.23,61,100,-5.36
197,San Jose,65.15,2.95,97,100,14.25
198,Lorengau,82.91,2.28,75,87,-2.02
199,Puerto Leguizamo,72.65,1.52,97,97,-0.19
200,Fukue,84.99,21.92,61,75,35.03
201,Barrow,36.2,7.31,78,0,-38.31
202,Katherine,96.8,17.22,11,0,-14.47
203,Stonewall,42.01,4.7,80,90,50.13
204,Buala,82.53,9.28,73,43,-8.15
205,Bambous Virieux,73.4,8.05,94,75,-20.34
206,Port Blair,82.17,1.61,66,48,11.67
207,Sistranda,43,9.17,93,40,63.73
208,Provideniya,39.2,15.66,80,75,64.42
209,Srednekolymsk,29.04,21.07,88,100,67.46
210,Along,65.47,3.78,73,39,28.17
211,Kushima,87.8,16.11,58,40,31.5
212,Iqaluit,32,9.17,84,40,63.75
213,Novyy Urengoy,46.1,13.38,93,100,66.08
214,Maniitsoq,42.54,13.67,53,62,65.42
215,Portland,50,4.7,70,75,43.66
216,Atuona,80.09,8.16,72,24,-9.8
217,Shubarshi,47.22,8.05,38,0,48.59
218,Kahului,84.2,16.11,62,40,20.89
219,Hirschaid,45,4.7,93,20,49.82
220,Mahajanga,73.4,4.7,83,20,-15.72
221,Asosa,63.69,5.97,84,64,10.07
222,Assiros,69.01,2.24,82,20,40.82
223,Pesqueira,62.68,5.55,92,32,-8.36
224,Kavieng,83.06,1.16,69,41,-2.57
225,Tsabong,59.98,18.21,48,0,-26.02
226,Evensk,36.81,8.34,32,0,61.92
227,Saint-Pierre,37.4,2.24,74,0,48.95
228,Buraydah,78.8,3.36,36,0,26.33
229,Ashtian,50.28,1.39,28,0,34.52
230,Cuiluan,44.73,11.92,39,100,47.72
231,Fort Nelson,51.8,2.24,81,75,58.81
232,Faanui,77.78,14.76,78,9,-16.48
233,Kungurtug,34.47,2.06,42,0,50.6
234,Padang,78.34,14.23,84,97,-0.92
235,Aklavik,39.2,6.93,93,90,68.22
236,Udachnyy,26.6,4.47,92,90,66.42
237,Namatanai,81.63,5.91,71,69,-3.66
238,Nyagan,46.46,9.73,92,100,62.14
239,Valdivia,37.4,3.36,100,0,-39.81
240,Esso,34.71,6.55,83,100,55.93
241,Mlowo,61.62,3.2,83,8,-9.01
242,Katsuura,77,32.21,83,75,33.93
243,Saint-Joseph,66.2,4.7,81,0,43.56
244,Awjilah,74.09,11.88,29,0,29.14
245,Orocue,77.17,3.71,88,100,4.79
246,Taoudenni,86.84,3.89,11,0,22.68
247,Arcachon,57.2,9.55,93,90,44.65
248,Tateyama,84.99,11.41,37,75,36.66
249,Conceicao do Araguaia,72.31,3.04,89,0,-8.26
250,Lavrentiya,34.98,13.53,80,62,65.58
251,Kerman,66.2,4.7,20,20,30.29
252,Caravelas,69.81,7.87,78,0,-17.73
253,Bandarbeyla,75.93,4.18,81,100,9.49
254,Ambilobe,73.16,3.78,75,33,-13.19
255,Takoradi,73.26,1.92,96,100,4.89
256,Mitreni,63,1.12,82,0,44.17
257,Stelle,46.99,8.05,87,17,53.38
258,Puerto Escondido,74.97,3.31,85,38,15.86
259,Balakhta,40.16,5.55,55,82,55.38
260,Grand Gaube,73.4,8.05,94,75,-20.01
261,Viamao,66.2,4.7,93,90,-30.08
262,Chulman,30.35,11.1,76,100,56.84
263,Bethel,50,8.05,81,90,60.79
264,Deer Lake,41,3.36,80,90,49.18
265,Kununurra,102.2,20.8,6,0,-15.77
266,Necochea,42.01,1.99,67,0,-38.55
267,Te Anau,43.98,9.17,76,8,-45.41
268,Pevek,29.27,7.85,72,100,69.7
269,Sfantu Gheorghe,63,3.36,87,0,44.65
270,Palauig,82.32,1.45,71,100,15.44
271,Sovetskiy,51.99,13.51,89,78,56.76
272,Vardo,80.6,4.7,57,90,39.62
273,Ketchikan,51.8,9.17,93,90,55.34
274,Faya,62.6,2.59,47,0,18.39
275,Kailua,84.2,19.46,74,75,21.39
276,Abu Dhabi,84.2,1.12,62,0,24.47
277,Viedma,39.91,10.02,62,0,-40.81
278,Mapastepec,74.16,3.06,88,74,15.44
279,Pokhara,57.39,4.07,75,0,28.21
280,Ixtapa,79,3.36,94,90,20.71
281,Poum,53.6,6.93,87,90,41.28
282,Troitsko-Pechorsk,43.44,6.49,93,100,62.71
283,Furstenwalde,48.99,11.41,100,75,52.37
284,Havre-Saint-Pierre,35.6,6.93,69,20,50.23
285,Thompson,28.4,4.52,79,5,55.74
286,Lalmohan,85.95,6.84,70,16,22.34
287,Toora-Khem,34.92,3.53,38,0,52.47
288,Zuwarah,74.9,11.23,44,19,32.93
289,Vestmannaeyjar,47.74,47.51,75,100,63.44
290,Tajumulco,75.2,3.36,100,75,15.08
291,Geraldton,32,2.24,86,90,49.72
292,Kysyl-Syr,30.5,5.01,59,0,63.9
293,Tucumcari,69.01,6.93,72,1,35.17
294,Vilhena,73.1,2.91,77,48,-12.74
295,Yangjiang,91,1.32,52,0,21.85
296,Barcelos,78.41,1.41,76,100,-0.97
297,Puchezh,46.34,4.12,82,99,56.98
298,Tigzirt,56.15,4.38,95,5,36.57
299,Saurimo,64.1,0.47,74,0,-9.66
300,Chuy,56.88,18.07,76,97,-33.69
301,Ternate,87.01,9.17,70,40,14.29
302,Teguise,73.4,16.11,83,0,29.06
303,Santa Cruz del Norte,77,3.36,100,75,23.15
304,Mudgee,82,12.75,24,40,-32.6
305,Celestun,82.21,15.93,79,0,20.87
306,Szamosszeg,59,4.7,93,100,48.04
307,Srikakulam,82.77,4.45,70,64,18.29
308,Camacha,68,4.7,82,40,33.08
309,Vostok,61.71,2.91,86,100,46.45
310,Kandara,82.75,8.1,73,0,25.72
311,Port Lincoln,57.41,11.52,84,28,-34.72
312,Hokitika,51.16,9.42,60,0,-42.72
313,Sola,68.24,6.49,67,65,-3.17
314,Kuantan,86,4.7,66,75,3.82
315,Comodoro Rivadavia,50.73,7.76,52,0,-45.87
316,Tondano,87.8,9.17,62,40,1.3
317,Yuzhno-Kurilsk,66.82,18.32,83,100,44.03
318,Tongzi,75.33,2.98,77,100,28.78
319,Sivas,53.6,4.7,58,40,39.75
320,Souillac,52,5.82,87,0,45.6
321,Itarema,75.05,9.22,81,0,-2.92
322,Pacific Grove,64.4,4.7,45,1,36.62
323,Inongo,72.09,2.3,85,58,-1.93
324,Gushikawa,87.8,5.82,79,20,26.35
325,Mackay,50,6.93,92,5,53.65
326,Naarden,55,4.7,87,20,52.3
327,Mahon,51.8,16.11,81,75,51.89
328,Kribi,76.79,5.01,87,100,2.94
329,Dwarka,86,3.49,69,40,28.58
330,George Town,84.2,11.41,74,75,5.42
331,Svetlaya,55.35,4.88,82,100,46.54
332,Yar-Sale,39.55,10.83,89,66,66.83
333,Laranjeiras do Sul,66.75,1.52,98,100,-25.41
334,Otradnoye,41,6.71,93,90,59.77
335,Brigantine,80.6,8.05,61,90,39.41
336,Ozernovskiy,46.82,15.26,98,100,51.5
337,Kon Tum,86.53,0.45,56,36,14.36
338,Sao Joao da Barra,65.27,1.54,97,5,-21.64
339,Rio Gallegos,41,16.11,73,0,-51.62
340,Edd,86.64,1.16,64,78,13.93
341,Finschhafen,72.38,4.38,89,33,-6.6
342,Novopokrovka,46.4,6.71,93,0,49.84
343,Pyinmana,79.85,4.99,82,100,19.74
344,Meiktila,82.17,7.7,70,12,20.88
345,Stillwater,81,4.7,83,1,36.12
346,Portsmouth,44.01,2.24,82,100,50.8
347,High Level,48.2,5.44,61,20,58.52
348,Rodez,50,1.36,100,90,44.35
349,Bayonet Point,81,4.7,69,1,28.33
350,Bubaque,80.88,10.76,82,95,11.28
351,Ust-Kishert,50.35,21.5,87,100,57.36
352,Marawi,84,7,77,14,8
353,Nahrin,57.28,0.96,41,0,36.06
354,Juba,45,1.88,93,100,57.82
355,Beyneu,56.72,11.01,50,32,45.32
356,Flinders,87.8,8.05,15,0,-34.58
357,Santa Helena,70.96,2.66,97,3,-2.23
358,Doba,68.19,4.23,74,23,9.29
359,Lagoa,61,3.36,72,0,37.14
360,Rajgarh,76.09,7.02,85,0,24.01
361,Luganville,78.8,14.99,78,90,-15.51
362,Man,68.44,1.95,99,93,7.41
363,Guanica,81,7.16,86,99,17.97
364,Lira,62.64,1.48,94,9,2.25
365,Cape Coast,75.41,4.03,92,100,5.11
366,Gat,75.2,6.93,100,100,14.69
367,Tungor,41.85,17.88,56,100,53.39
368,Henties Bay,57.23,7.87,93,0,-22.12
369,Saint-Francois,41,2.01,100,0,46.42
370,Ovsyanka,43.24,7.81,30,0,53.58
371,Mucurapo,80.6,10.54,83,20,10.67
372,Broome,46,4.7,93,1,52.47
373,Nanortalik,41.48,1.52,75,100,60.14
374,Naron,55.99,3.36,100,100,43.52
375,Umbertide,57.99,4.7,100,0,43.31
376,Aksarka,39.15,11.92,88,66,66.56
377,Turayf,64.4,3.6,45,0,31.68
378,Wilmington Island,80.01,3.36,83,1,32
379,Lamar,53.6,9.17,76,1,38.09
380,Sindor,38.27,6.14,96,37,62.87
381,Hervey Bay,78.01,16.11,41,0,-25.3
382,Acapulco,73.77,2.28,89,97,16.86
383,Arys,62.6,4.47,48,0,42.43
384,Ayna,55.99,3.36,81,0,38.55
385,Amuntai,91.55,3.11,52,0,-2.42
386,Magadan,36.83,6.85,65,100,59.56
387,Akureyri,30.2,5.82,86,0,65.68
388,Diamantino,71.43,3.04,86,52,-14.4
389,Kaiyuan,67.56,14.94,61,0,42.54
390,Nyuzen,84.99,11.41,37,75,36.93
391,Dongsheng,89.72,1.74,35,0,29.72
392,Stawell,65.51,8.72,68,33,-37.06
393,Tzucacab,72.69,2.13,97,47,20.07
394,Mayskiy,48.2,2.24,93,2,43.63
395,North Bend,54,4.7,87,90,43.41
396,Hornepayne,29.09,2.53,94,46,49.22
397,Callosa de Segura,66.99,3.36,68,0,38.13
398,Anito,88.74,4.52,55,100,12.45
399,Maceio,69.8,2.24,94,40,-9.67
400,Porto Novo,73.4,3.36,60,0,-23.68
401,Coolum Beach,72,5.99,53,0,-26.53
402,Klaksvik,42.8,6.93,81,5,62.23
403,Luderitz,55.23,24.07,93,0,-26.65
404,Atambua,79.28,9.26,68,0,-9.11
405,Puerto Baquerizo Moreno,68.76,13.04,83,100,-0.9
406,Alekseyevsk,33.14,12.55,92,100,57.84
407,Longyearbyen,35.6,18.34,74,75,78.22
408,Hudson Bay,31.59,2.13,91,0,52.86
409,Ardmore,82,1.81,88,1,34.99
410,Teknaf,81.71,13.38,81,0,20.86
411,Ballina,48,8.99,80,100,54.11
412,Anjiang,87.54,4.92,40,0,27.32
413,Shirokiy,48,1.01,86,45,53.87
414,Arlit,86.53,10.09,12,59,18.74
415,Huron,44.6,8.05,93,90,44.36
416,Kaihua,91.12,1.39,38,0,29.14
417,Presidencia Roque Saenz Pena,59.39,6.51,90,100,-26.79
418,Polunochnoye,41.82,6.73,89,100,60.87
419,Adrar,78.8,14.99,12,0,27.87
420,College,39.2,4.7,100,90,64.86
421,Kirensk,33.14,12.55,92,100,57.78
422,Wewak,82.61,4.36,74,51,-3.55
423,Lahaina,84.2,20.8,69,40,20.87
424,Leningradskiy,29.11,12.82,92,100,69.38
425,Fortuna,69.01,3.36,68,89,38.18
426,Berthierville,43,6.93,86,1,46.08
427,Ucluelet,50,22.19,91,100,48.94
428,Gatesville,84.2,10.83,61,1,31.44
429,Betsiamites,39.2,6.93,80,1,48.94
430,Neiafu,80.6,7.36,74,75,-18.65
431,Pinhao,65,1.9,98,100,-25.7
432,Payo,82.52,5.55,49,100,-3.75
433,Kosonsoy,57.2,6.93,76,0,41.25
434,Payakumbuh,75.21,1.48,66,74,-0.23
435,Cidreira,63.87,10.22,89,100,-30.17
436,Inuvik,39.2,6.93,93,90,68.36
437,Pljevlja,50,3.36,93,0,43.36
438,Omboue,76.95,7.67,75,100,-1.57
439,Nanakuli,84.2,6.93,78,90,21.39
440,Pimenta Bueno,74.49,4.03,79,2,-11.68
441,Pangody,42.2,9.46,93,98,65.85
442,Manta,60.95,5.23,67,85,45.1
443,Grindavik,46.4,39.15,81,90,63.84
444,Khani,71.6,24.16,46,0,41.96
445,Leh,33.48,1.5,33,17,34.16
446,Hovd,43,5.82,93,90,63.83
447,Sertaozinho,75.2,1.79,60,0,-21.14
448,Bintulu,86,5.82,70,75,3.17
449,Yantal,32.91,12.44,91,100,56.85
450,Kangaatsiaq,43.76,24.32,56,5,68.31
451,Sao Jose da Coroa Grande,70.71,4.12,92,48,-8.9
452,Belaya Gora,31.07,25.93,73,100,68.54
453,Oktyabrskiy,54,4.47,81,0,55.61
454,Sarnen,45,2.24,93,40,46.9
455,Ca Mau,90.62,1.54,61,16,9.18
456,Ambon,54,8.05,87,90,47.55
457,Pontianak,84.2,3.36,74,75,-0.02
458,Alofi,82.4,6.93,74,75,-19.06
459,Kropotkin,57,11.86,67,0,45.43
460,Kashin,44.23,5.28,94,100,57.36
461,Grafton,82.99,8.05,26,0,-29.69
462,Nyurba,33.61,6.44,69,100,63.29
463,Vao,41.98,4.7,85,94,59.1
464,Ibra,77.08,4.81,66,0,22.69
465,Zhangye,54.65,5.95,29,86,38.94
466,Mashhad,59,4.7,41,20,36.3
467,Sao Filipe,77.39,10.92,86,0,14.9
468,Madras,50,3.36,61,90,44.63
469,Balaipungut,82.21,3.85,79,49,1.11
470,Nizwa,74.38,1.41,67,0,22.93
471,Dawson,79,6.73,83,1,39.85
472,Turukhansk,39.64,10.27,98,98,65.8
473,Angoche,74.92,8.05,88,93,-16.23
474,Roald,44.6,6.93,87,75,62.58
475,Fossano,60.01,6.82,67,0,44.55
476,Paka,66.78,2.37,99,70,4.15
477,Atar,93.35,8.68,10,0,20.52
478,Samana,71.57,2.51,95,100,0.12
479,Itoman,87.8,5.82,79,20,26.12
480,Macau,74.31,21.59,74,0,-5.11
481,Glendive,37,4.7,100,90,47.11
482,Nova Olinda do Norte,79.82,1.23,61,38,-3.89
483,Magalia,64.4,4.85,29,1,39.81
484,Puerto del Rosario,73.4,10.29,73,20,28.5
485,Wajima,77,11.41,53,75,37.4
486,Micheweni,79.33,14.34,81,92,-4.97
487,Yinchuan,68,3,37,50,38.48
488,Kalmunai,83.56,5.21,65,2,7.42
489,Dogondoutchi,80.3,7.4,64,94,13.64
490,Mookane,50.85,7.2,76,0,-23.68
491,Den Helder,55.4,9.17,87,75,52.96
492,Shwebo,82.52,5.84,80,81,22.57
493,Alenquer,84.2,5.82,74,20,-1.95
494,Hatillo,81,4.97,88,100,18.49
495,Joshimath,55.68,1.63,59,0,30.57
496,Mbanza-Ngungu,72.15,2.28,84,100,-5.25
497,Turbana,80.6,3.36,94,75,10.27
498,Uglegorsk,46.17,14.67,94,100,49.08
499,Sao Raimundo das Mangabeiras,76.49,4.85,75,9,-7.02
500,Dabhol,80.16,7.65,81,33,17.6
501,Cavalcante,70.85,0.96,42,0,-13.79
502,Calama,53.6,21.92,40,0,-22.46
503,Oussouye,78.8,2.24,88,20,12.49
504,La Ronge,41,9.17,81,5,55.1
505,Qasigiannguit,48.2,27.51,31,0,68.82
506,Ahuimanu,84.2,19.46,74,75,21.44
507,Bonavista,39.99,11.01,87,100,48.65
508,Anzio,64.99,3.36,87,20,41.45
509,Arawa,87.38,14.52,53,0,-3.93
510,Pangai,77,11.41,83,75,-19.8
511,Kimbe,84.05,3.98,76,53,-5.56
512,Sechelt,55.99,2.24,93,90,49.47
513,Obo,69.27,1.68,95,95,5.39
514,Fort Wellington,75.57,2.62,93,32,6.4
515,Ust-Kuyga,27.13,26.17,79,100,70
516,Tiznit,68.91,19.17,81,9,29.7
517,Abengourou,69.92,0.89,99,89,6.73
518,Praia da Vitoria,66.2,8.43,82,75,38.73
519,Ostersund,32,6.93,84,100,63.18
520,Rio Grande,59.85,11.3,90,100,-32.03
521,Itacarambi,71.36,7.65,43,17,-15.1
522,Labuhan,91.07,1.77,53,0,-2.54
523,Gua,81.44,6.96,76,28,11.21
524,Hajnowka,48.99,1.99,87,100,52.74
525,Kendari,88.06,4.32,51,33,-3.99
526,Creel,55.57,2.01,88,12,27.75
527,Bonfim,81.44,7.72,65,53,3.36
528,Tevriz,42.65,10.09,64,21,57.51
529,Shatki,48.71,7.34,92,75,55.19
530,Caapucu,69.02,5.73,94,100,-26.22
531,General Pico,48.46,11.88,48,6,-35.66
532,Lasa,68,8.05,82,75,34.92
533,Gryfice,46.99,5.82,100,75,53.91
534,Eyl,73.21,1.81,91,12,7.98
535,Karpogory,30.71,6.35,90,46,64
536,Sebezh,45.27,7.34,96,100,56.29
537,Tautira,80.6,9.17,69,20,-17.73
538,Haines Junction,34.92,2.86,78,19,60.75
539,Sychevka,50.33,7.61,94,100,55.83
540,Fairbanks,37.99,5.82,100,90,64.84
541,Kaa-Khem,34.67,4.23,39,0,51.7
542,Ornskoldsvik,39.2,10.29,80,66,63.29
543,Myronivka,55.37,12.73,88,90,49.66
544,Oyama,87.01,1.01,11,62,36.31
545,Piacabucu,76,11.45,80,0,-10.41
546,Makhachkala,64.4,11.18,88,20,42.98
547,Vila Franca do Campo,71.01,12.75,73,75,37.72
548,Los Aquijes,63,2.24,82,0,-14.1
549,Isiro,66.89,1.72,99,98,2.77
550,Shieli,51.88,16.53,30,0,44.18
551,Jalu,74.4,11.14,31,0,29.03
552,Surt,78.92,18.75,71,0,31.21
553,Avera,82.99,4.7,74,1,33.19
554,Kinel,48.2,6.71,100,100,53.22
555,Linares,40.83,4.07,89,0,-35.85
556,Lagunas,77.13,0.45,71,56,-5.23
557,Mabama,72.65,4.36,98,100,8.94
558,Mehriz,68,2.24,22,0,31.58
559,Kynashiv,57.2,6.71,76,40,48.67
